Designator,Mid X,Mid Y,Rotation,Layer
D44,239.075,-123.2,180.0,top
D46,177.2,-47.0,180.0,top
D47,177.175,-66.075,0.0,top
D48,205.675,-85.075,180.0,top
D49,134.275,-104.175,0.0,top
D4_0,38.3165,-120.391,90.0,bottom
D4_1,59.8775,-120.391,90.0,bottom
D4_10,231.3275,-120.4,90.0,bottom
D4_11,250.3775,-120.391,90.0,bottom
D4_12,276.4415,-120.391,90.0,bottom
D4_13,302.765,-120.391,90.0,bottom
D4_14,321.815,-120.391,90.0,bottom
D4_2,78.9275,-120.391,90.0,bottom
D4_3,97.9775,-124.7775,90.0,bottom
D4_4,117.0,-120.4,90.0,bottom
D4_5,136.0775,-120.391,90.0,bottom
D4_6,155.1275,-120.391,90.0,bottom
D4_7,174.1775,-120.391,90.0,bottom
D4_8,193.2275,-120.391,90.0,bottom
D4_9,212.2775,-120.4,90.0,bottom
D5,45.75,-51.75,0.0,bottom
D50,258.1,-123.2,180.0,top
D52,196.2,-47.0,180.0,top
D53,158.075,-66.075,0.0,top
D54,224.775,-85.075,180.0,top
D55,115.2,-104.2,0.0,top
D56,284.275,-123.2,180.0,top
D58,215.275,-47.0,180.0,top
D59,139.1,-66.1,0.0,top
D6,72.4,-85.1,180.0,top
D60,243.8,-85.075,180.0,top
D61,96.2,-104.2,0.0,top
D62,310.575,-123.2,180.0,top
D64,234.3,-47.0,180.0,top
D65,120.0,-66.1,0.0,top
D66,262.9,-85.1,180.0,top
D67,77.175,-104.2,0.0,top
D68,329.575,-123.2,180.0,top
D7,267.675,-104.175,0.0,top
D70,253.375,-47.0,180.0,top
D71,100.975,-66.075,0.0,top
D72,281.9,-85.1,180.0,top
D73,50.9,-104.175,0.0,top
D74,329.575,-142.275,0.0,top
D76,272.4,-47.0,180.0,top
D77,81.9,-66.1,0.0,top
D78,308.1,-94.675,180.0,top
D79,46.175,-123.275,180.0,top
D8,124.7,-123.2,180.0,top
D80,310.5,-142.275,0.0,top
D82,291.4,-47.0,180.0,top
D83,62.9,-66.1,0.0,top
D84,329.5,-85.1,180.0,top
D85,67.6,-123.2,180.0,top
D86,291.4,-142.275,0.0,top
D88,310.5,-47.0,180.0,top
D89,43.8,-66.1,0.0,top
D9,234.3,-142.275,0.0,top
D90,329.575,-104.175,0.0,top
D91,86.675,-123.175,180.0,top
D92,272.4,-142.275,0.0,top
D94,329.5,-47.0,180.0,top
D95,48.6,-85.1,180.0,top
D96,286.7,-104.175,0.0,top
D97,105.7,-123.2,180.0,top
D98,253.275,-142.275,0.0,top
F1,50.6305,-48.03,0.0,bottom
J1,53.5,-30.2,180.0,bottom
J2,142.2,-142.7,90.0,top
K0_0,43.815,-42.291,0.0,top
K0_1,62.865,-42.291,0.0,top
K0_10,234.315,-42.291,0.0,top
K0_11,253.365,-42.291,0.0,top
K0_12,272.415,-42.291,0.0,top
K0_13,291.465,-42.291,0.0,top
K0_14,310.515,-42.291,0.0,top
K0_15,329.565,-42.291,0.0,top
K0_2,81.915,-42.291,0.0,top
K0_3,100.965,-42.291,0.0,top
K0_4,120.015,-42.291,0.0,top
K0_5,139.065,-42.291,0.0,top
K0_6,158.115,-42.291,0.0,top
K0_7,177.165,-42.291,0.0,top
K0_8,196.215,-42.291,0.0,top
K0_9,215.265,-42.291,0.0,top
K1_0,43.815,-61.341,0.0,top
K1_1,62.865,-61.341,0.0,top
K1_10,234.315,-61.341,0.0,top
K1_11,253.365,-61.341,0.0,top
K1_12,272.415,-61.341,0.0,top
K1_13,300.99,-61.341,0.0,top
K1_14,329.565,-61.341,0.0,top
K1_2,81.915,-61.341,0.0,top
K1_3,100.965,-61.341,0.0,top
K1_4,120.015,-61.341,0.0,top
K1_5,139.065,-61.341,0.0,top
K1_6,158.115,-61.341,0.0,top
K1_7,177.165,-61.341,0.0,top
K1_8,196.215,-61.341,0.0,top
K1_9,215.265,-61.341,0.0,top
K2_0,48.5775,-80.391,0.0,top
K2_1,72.39,-80.391,0.0,top
K2_10,243.84,-80.391,0.0,top
K2_11,262.89,-80.391,0.0,top
K2_12,281.94,-80.391,0.0,top
K2_13,308.129,-89.916,0.0,top
K2_14,329.565,-80.391,0.0,top
K2_2,91.44,-80.391,0.0,top
K2_3,110.5,-80.391,0.0,top
K2_4,129.54,-80.391,0.0,top
K2_5,148.59,-80.391,0.0,top
K2_6,167.64,-80.391,0.0,top
K2_7,186.69,-80.391,0.0,top
K2_8,205.74,-80.391,0.0,top
K2_9,224.79,-80.391,0.0,top
K3_0,50.954,-99.441,0.0,top
K3_1,77.1525,-99.441,0.0,top
K3_10,248.6025,-99.441,0.0,top
K3_11,267.6525,-99.441,0.0,top
K3_12,286.7025,-99.441,0.0,top
K3_13,329.565,-99.441,0.0,top
K3_2,96.2025,-99.441,0.0,top
K3_3,115.2525,-99.441,0.0,top
K3_4,134.3025,-99.441,0.0,top
K3_5,153.3525,-99.441,0.0,top
K3_6,172.4025,-99.441,0.0,top
K3_7,191.4525,-99.441,0.0,top
K3_8,210.5025,-99.441,0.0,top
K3_9,229.5525,-99.441,0.0,top
K4_0,46.1915,-118.491,0.0,top
K4_1,67.6275,-118.491,0.0,top
K4_10,239.0775,-118.5,0.0,top
K4_11,258.1275,-118.491,0.0,top
K4_12,284.3165,-118.491,0.0,top
K4_13,310.515,-118.491,0.0,top
K4_14,329.565,-118.491,0.0,top
K4_2,86.6775,-118.491,0.0,top
K4_3,105.7275,-118.491,0.0,top
K4_4,124.75,-118.5,0.0,top
K4_5,143.8275,-118.491,0.0,top
K4_6,162.8775,-118.491,0.0,top
K4_7,181.9275,-118.491,0.0,top
K4_8,200.9775,-118.491,0.0,top
K4_9,220.0275,-118.5,0.0,top
K5_0,46.1915,-137.541,0.0,top
K5_1,70.004,-137.541,0.0,top
K5_2,93.8165,-137.541,0.0,top
K5_3,165.2415,-137.541,0.0,top
K5_4,234.315,-137.541,0.0,top
K5_5,253.365,-137.541,0.0,top
K5_6,272.415,-137.541,0.0,top
K5_7,291.465,-137.541,0.0,top
K5_8,310.515,-137.541,0.0,top
K5_9,329.565,-137.541,0.0,top
L4,196.2,-129.8,90.0,bottom
Q1,310.7,-106.8,180.0,bottom
Q2,315.3,-106.8,180.0,bottom
R1,56.75,-48.5,180.0,bottom
R10,59.5,-34.0,90.0,bottom
R12,94.6785,-53.1495,180.0,bottom
R13,307.3,-106.8,90.0,bottom
R14,311.4,-104.0,180.0,bottom
R3,96.774,-53.1495,180.0,bottom
R4,97.3455,-51.183,90.0,bottom
R6,45.8,-34.0,90.0,top
R7,56.75,-50.0,0.0,bottom
R8,56.843,-51.5,180.0,bottom
R9,47.5,-34.0,90.0,bottom
SW1,206.3,-131.7,90.0,top
U2,53.2805,-50.9675,0.0,bottom
U4,297.8,-118.3,0.0,bottom
U5,53.2,-37.3,90.0,bottom
U6,188.5,-139.0,180.0,bottom
